gene_name,bio_process,mol_func,syst_id,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
IQG1,actin filament organization*,cytoskeletal protein binding,YPL242C,-0.24,-0.09,-0.19,-0.18,0.08,-0.14,0.1,0.02,0.38,0.42,0.4,0.1,0.38,0.34,0.21,0.32,0.11,0.28,-0.42,0.14,0.25,0.01,0.09,0.07,0.04,0.02,0.17,0.02,-0.07,-0.16,0.2,0.03,-0.18,-0.03,-0.12,-0.21
YBP1,response to oxidative stress,molecular function unknown,YBR216C,-0.26,-0.06,-0.16,0.04,-0.03,0.08,0.59,0.52,0.68,0.52,0.22,0.12,-0.01,0.12,0.26,0.4,0,0.14,0.03,0.37,0.25,0.32,0.22,0.14,-0.05,0.17,-0.2,-0.24,-0.18,0.1,-0.75,0.22,-0.04,-0.12,-0.05,-0.03
VAC8,protein-vacuolar targeting*,protein binding,YEL013W,0.06,0.18,0.08,0.05,0.02,0.07,0.53,0.61,0.7,0.55,0.36,0.21,-0.15,0.1,0.2,0.43,-0.01,-0.08,-0.14,0.51,0.3,0.3,0.28,0.23,-0.12,0.15,0.1,0.07,0.07,0,-0.57,0.26,0.04,0.02,0.15,0.31
AVT4,neutral amino acid transport,neutral amino acid transporter activity,YNL101W,-0.45,-0.48,-0.24,-0.2,-0.13,-0.27,1.08,1.1,1.19,0.96,0.88,0.82,-0.02,-0.2,-0.05,0.21,-0.11,-0.12,-0.31,0.65,0.5,0.49,0.12,0.59,0.24,0.01,0.37,0.45,0.31,-0.09,-0.57,0.42,0.17,0.22,0.51,0.39
URK1,pyrimidine salvage,uridine kinase activity,YNR012W,-0.51,-0.29,-0.15,-0.01,0.29,0.53,1.04,1.09,1.02,0.74,0.73,0.9,-0.31,-0.14,0.09,0.2,0.38,0.37,0.22,0.13,0.43,0.33,0.35,0.29,-0.35,-0.06,0.01,0.04,0.39,0.49,-1.18,0.09,0.3,0.11,0.39,0.53
,biological process unknown,molecular function unknown,YDR352W,-0.48,-0.35,-0.48,-0.32,-0.12,-0.05,0.87,1.22,0.62,0.48,0.57,0.79,-0.2,-0.09,-0.13,0.06,0.14,0.22,0.66,0.59,0.33,0.42,0.23,0.46,-0.36,-0.2,0.07,0.15,0.13,0.1,-1.01,0.05,0.06,-0.01,0.34,0.46
,biological process unknown,molecular function unknown,YMR155W,-0.23,-0.52,-0.37,-0.02,-0.23,-0.24,1.43,1.42,0.9,0.83,0.75,0.77,-0.03,-0.18,-0.36,-0.16,-0.3,-0.22,0.52,0.72,0.14,0.33,0.07,0.49,-0.39,-0.46,-0.07,0.13,0.08,-0.22,-0.47,-0.29,-0.15,-0.23,0.2,0.23
,biological process unknown,molecular function unknown,YGR125W,-0.73,-0.65,-0.49,-0.46,-0.29,-0.42,2.26,1.96,2.13,1.89,1.88,1.46,0.01,0.21,0.24,0.81,0.39,0.1,0.89,0.89,0.52,0.45,0.29,0.4,-0.39,-0.37,-0.34,-0.28,-0.19,-0.6,-1.19,-0.24,-0.27,-0.31,-0.06,0.17
,biological process unknown,molecular function unknown,YGL140C,-0.32,-0.2,-0.04,-0.07,-0.07,-0.05,0.95,0.92,0.85,0.38,0.52,0.43,0.21,0.33,0.23,0.47,0.33,0.52,0.11,0.42,0.29,0.27,0.1,0.16,0.04,0.04,-0.05,0.06,0.01,-0.31,-0.52,-0.21,-0.22,-0.11,-0.24,-0.02
AVT7,transport,transporter activity,YIL088C,-0.61,-0.58,-0.48,-0.46,-0.31,-0.31,0.68,0.78,0.73,0.7,1,0.92,-0.03,-0.2,-0.28,-0.12,-0.17,0.22,0.34,0.51,0.28,0.47,0.32,0.39,0.23,0.38,0.28,0.36,0.18,-0.29,-1.26,-0.25,-0.35,-0.41,-0.29,-0.03
VMA2,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism",YBR127C,-0.58,-0.49,-0.19,-0.06,-0.24,-0.38,1.33,0.99,0.34,0.44,0.26,0.45,-0.01,0.08,-0.08,-0.15,0.1,0.06,0.02,0.3,0.3,0.08,0.2,-0.07,-0.28,0.03,0,-0.05,-0.04,-0.14,-0.02,0.23,0.05,-0.08,-0.02,-0.01
,biological process unknown,molecular function unknown,YEL023C,0.27,0.45,0.35,0.24,0.08,-0.03,0.56,0.93,0.81,0.57,0.21,-0.34,-0.05,-0.09,0.03,-0.29,-0.18,0.09,0.44,0.23,0.1,0,0.14,0.02,-0.02,0.09,0.22,0.17,-0.19,-0.07,0.59,0.21,-0.04,0.21,0.13,-0.08
SRL2,"nucleobase, nucleoside, nucleotide and nucleic acid metabolism",molecular function unknown,YLR082C,0.34,0.43,-0.06,-0.13,-0.36,-0.3,1,1.25,1.08,0.82,0.58,-0.18,-0.11,0.16,0.07,-0.49,0.13,-0.46,0.56,1.1,0.6,0.45,0.52,0.31,-0.13,0.2,0.23,0.1,-0.07,-0.05,0.44,0.3,-0.01,0.31,-0.19,0.01
FAA1,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity,YOR317W,1.13,0.47,0.22,-0.08,0.13,0.44,1.29,1.63,1.23,0.84,0.59,0.5,-0.68,0.1,0.46,0.54,0.23,-0.06,-0.02,0.54,0.57,0.55,0.34,0.02,0.2,0.22,0.18,0.14,0.13,0.14,-0.61,0.9,0.38,0.58,0.36,0.06
TEL2,telomerase-dependent telomere maintenance,telomeric DNA binding,YGR099W,-0.14,-0.03,0.05,0.06,0.26,0.22,0.67,0.67,0.41,0.31,0.31,0.41,-0.1,0.22,0.08,0.22,0.28,0.56,0.73,0.38,0.37,0.32,0.22,0.38,-0.15,-0.01,0.17,0.13,0.09,0.09,0.39,0.05,0.07,-0.01,0.2,0.12
,proteolysis and peptidolysis,metalloendopeptidase activity,YOL057W,-0.1,-0.28,0.33,0.43,0.23,0.32,0.74,0.92,0.59,0.31,0.21,0.64,0.29,0.2,0.26,0.07,0.17,0.34,0.73,0.4,0.25,0.38,0.29,0.31,-0.14,-0.12,0.36,0.23,0.18,0.33,0.23,0.34,0.2,0.23,0.46,0.56
ZMS1,biological process unknown,transcription factor activity,YJR127C,-0.15,-0.33,0.55,0.68,0.24,0.2,1.38,1.62,1.24,0.79,0.31,0.46,0.44,0.48,0.24,0.36,0.16,-0.02,0.93,0.94,0.36,0.53,0.4,0.54,-0.33,-0.1,0.04,0.08,0.31,0.37,0.63,0.57,0.28,0.29,0.58,0.45
,biological process unknown,molecular function unknown,YAL049C,-0.3,-0.05,0.28,0.47,0.37,0.12,0.65,0.64,0.99,1.05,0.66,0.77,0.57,0.33,0.16,0.38,0,-0.21,0.89,0.41,0.51,0.56,0.56,0.5,0.33,0,0.06,0.18,0.31,0.36,0.98,0.92,0.7,0.44,0.37,0.39
DAL3,allantoin catabolism,ureidoglycolate hydrolase activity,YIR032C,-0.23,0.5,0.94,0.6,0.39,0.22,1.57,1.76,2.24,2.13,2.32,2.63,-0.44,-0.08,0.34,0.64,0.53,0.45,1.17,0.93,0.64,0.8,0.84,0.83,-0.43,-0.4,0.29,0.05,-0.54,-0.67,0.91,1.49,0.96,0.9,0.87,0.73
DAL2,allantoin catabolism,allantoicase activity,YIR029W,0.12,0.33,0.92,0.69,0.72,0.39,3.58,3.38,2.88,3.05,2.89,3.18,-0.6,-0.42,-0.59,-0.64,-0.97,-0.7,-0.59,-0.45,-1.12,-0.77,-0.65,-0.63,-0.08,-0.4,-0.45,-0.8,-1.06,-1.25,0.88,0.75,0.54,0.84,0.67,0.66
PUT4,proline catabolism*,L-proline permease activity*,YOR348C,1.36,0.97,1.42,1.23,0.56,-0.44,5.14,5.2,3.25,3.25,2.39,2.42,0.74,0.73,0.04,0.16,-0.36,-0.47,0.64,0.49,-1.22,-0.56,-0.73,-0.39,-1.38,-2.01,-1.65,-1.49,-1.48,-1.76,0.21,-0.89,-1.25,-1.16,-1.22,-1.25
DUR3,urea transport,urea transporter activity,YHL016C,1.61,1.74,2.31,1.24,0.48,-0.52,5.14,4.57,3.23,3.79,2.71,2.48,0.41,0.41,0.14,0.1,-0.18,0.15,0.26,0.07,-0.61,-0.57,-0.67,-0.49,0.83,0.32,0.31,-0.09,-0.87,-1.06,0.54,0.13,-0.58,-0.2,-0.36,-0.5
,not yet annotated,not yet annotated,YIL168W,-0.93,0.78,0.24,0.15,-0.06,0.05,2.59,2.32,2.23,2.02,1.56,1.31,0.41,0.33,0.28,-0.23,0.07,0.14,0.57,1.07,1.21,0.75,0.8,0.62,0.51,0.83,-0.01,0.24,0.06,-0.02,0,0.92,0.65,0.08,-0.41,0.05
,biological process unknown,molecular function unknown,YGL196W,0.95,1.04,0.78,0.74,0.42,0.41,2.51,2.4,2.02,1.88,1.78,2.04,-0.19,-0.35,-0.67,-0.63,-0.59,-0.7,0.71,0.71,0.53,0.52,0.54,0.67,0.35,-0.11,-0.27,-0.23,0.01,0,0.25,0.33,0.29,-0.02,0.27,0.43
PUT1,glutamate biosynthesis*,proline dehydrogenase activity,YLR142W,1.64,1,2.29,1.96,0.84,0.33,4.96,4.78,3.23,3.37,3.34,3.32,0.06,-0.58,-0.88,-1.52,-0.64,-1.02,1.94,1.75,0.31,0.79,0.97,0.76,1.08,0.07,0.18,0.11,-0.28,-0.32,0.3,0.29,-0.19,0.06,-0.42,-0.17
NPR1,regulation of nitrogen utilization,kinase activity,YNL183C,0.38,0.21,0.33,0.3,0.02,-0.03,1.21,0.82,0.65,0.8,0.45,0.86,0.12,-0.03,-0.23,0.04,0.06,-0.11,0.58,0.74,0.35,0.28,0.23,0.3,0.43,0.22,0.29,0.12,-0.02,-0.27,-0.13,0.38,0.18,0.04,0.25,0.06
DAL82,transcription initiation from RNA polymerase II promoter*,transcriptional activator activity,YNL314W,0.46,0.4,0.31,0.19,0,0.06,0.87,0.77,0.85,0.38,0.55,0.58,0.41,0.14,0.19,0.22,0.19,0.07,0.16,0.36,0.41,0.33,0.32,0.27,0.56,0.43,0.31,0.19,0.03,-0.07,0.29,0.3,0.04,-0.06,0.07,0.13
,biological process unknown,molecular function unknown,YKR021W,0.63,0.48,0.55,0.46,0.13,0.08,1.28,1.28,0.76,0.53,0.35,0.56,0.37,0.22,0.08,-0.03,-0.08,-0.36,0.69,0.31,0.07,0.12,0.04,0.07,0.47,0.16,0.32,0.23,0.06,-0.04,0.16,0.17,-0.11,-0.05,-0.06,0.15
RMI1,response to DNA damage stimulus,molecular function unknown,YPL024W,0.73,0.8,0.64,0.59,0.37,0.28,2.52,2.1,1.89,1.44,0.92,0.52,0.54,0.47,0.68,0.43,0.33,-0.04,0.44,0.17,0.35,0.23,0.34,0.27,0.78,0.54,0.63,0.45,0.23,0.35,0.72,0.58,0.23,0.76,0.03,-0.22
APE2,peptide metabolism,leucyl aminopeptidase activity,YKL157W,0.62,0.35,0.67,0.47,0.35,0.23,1.12,1,0.86,0.99,0.73,0.92,0.28,0.29,0.13,0,0.02,-0.2,0.8,0.65,0.58,0.3,0.28,0.03,0.69,0.34,0.55,0.23,0.2,0.06,0.51,0.41,0.42,0.2,0.26,0.06
ALD2,aldehyde metabolism*,aldehyde dehydrogenase activity,YMR170C,0.76,0.32,0.55,0.67,0.36,0.49,2.03,1.76,1.2,1.41,1.21,1.31,0.87,0.65,0.33,0.08,0.08,0.18,0.93,0.49,0.34,0.48,0.31,0.22,0.9,0.34,0.55,0.45,0.33,0.41,1.35,0.86,0.56,0.47,0.51,0.58
GUD1,guanine metabolism,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides*",YDL238C,0.69,0.48,0.29,0.31,0.08,0.07,2.39,2.33,1.67,1.78,1.76,1.53,0.86,0.68,0.27,0.26,-0.02,0.06,1.78,1.09,0.53,0.41,0.5,0.29,0.67,0.46,0.1,0.26,-0.03,0.02,2.43,0.71,0.31,0.24,0.13,0.28
ECM37,cell wall organization and biogenesis,molecular function unknown,YIL146C,0.95,0.51,0.52,0.34,0.16,-0.15,2.59,2.49,1.6,1.32,0.87,1.15,0.52,0.5,0.15,0.16,0.01,-0.06,2.08,1.01,0.62,0.48,0.41,0.39,0.81,0.52,0.32,0.11,-0.04,-0.19,1.58,1.2,0.12,0.03,0.19,0.02
ECM30,cell wall organization and biogenesis,molecular function unknown,YLR436C,0.42,0.31,0.39,0.38,0.16,0.17,1.78,1.85,1.31,0.98,0.5,0.47,0.65,0.38,0.17,0.24,0.16,-0.04,0.76,1.04,0.41,0.37,0.36,0.4,0.44,0.3,0.47,0.22,0.05,-0.05,1.01,0.72,0.29,0.18,0.36,0.23
,biological process unknown,carboxypeptidase C activity,YBR139W,0.42,0.17,0.48,0.59,0.08,-0.11,2.19,2.19,1.3,1.17,1.13,1.09,0.71,0.56,0.31,0.58,0.18,0.08,1.84,1.16,0.4,0.72,0.4,0.57,0.71,0.46,0.24,0.33,0.12,-0.2,0.46,0.94,0.65,0.14,0.78,0.39
,biological process unknown,molecular function unknown,YLR257W,0.7,0.67,1.16,0.92,0.05,-0.25,3.38,2.4,1.84,1.52,1.29,0.79,0.54,0.64,0.73,0.43,0.33,-0.64,2.2,1.69,1.03,0.83,1.02,0.59,0.56,0.52,0.28,0.28,0.52,0.39,0.77,0.81,0.55,0.36,0.02,-0.15
ATG7,protein-vacuolar targeting*,ubiquitin-like conjugating enzyme activity,YHR171W,0.57,0.55,0.61,0.56,0.03,0.03,1.28,1.32,1.2,1.04,0.72,0.43,0.43,0.2,-0.08,0.04,-0.14,-0.53,1.17,0.99,0.6,0.43,0.41,0.34,0.5,0.72,0.3,0.31,0,0.07,0.33,0.59,0,0.18,0.21,-0.02
IML1,biological process unknown,molecular function unknown,YJR138W,0.36,0.2,0.48,0.17,0.08,0.11,1.83,1.69,1.23,1.45,1.04,0.94,0.28,0.25,0.07,0,-0.16,-0.22,1.08,0.79,0.63,0.44,0.56,0.22,0.43,0.34,0.29,0.18,0.01,-0.12,0.66,0.06,0.11,0.17,0.15,0.2
ADY3,protein complex assembly*,protein binding,YDL239C,0.7,0.47,0.66,0.51,0.01,-0.07,2.62,2.89,2.82,2.69,2.23,1.22,0.74,0.31,0.35,0.36,-0.11,-0.39,0.8,1.14,0.61,0.7,0.69,0.49,0.54,0.53,0.13,0.03,-0.03,-0.1,0.45,0.88,0.43,0.34,0.34,0.16
SDL1,biological process unknown*,molecular function unknown*,YIL167W,0.43,0.43,0.1,0,0,0.13,1.99,1.77,1.93,1.83,1.49,1.26,0.37,0.35,0.12,-0.13,0.09,0.15,0.89,0.89,0.89,0.58,0.57,0.22,0.29,0.57,0.24,0.13,0.01,-0.02,-0.06,0.76,0.49,0.17,-0.11,0.05
,biological process unknown,molecular function unknown,YHR202W,0.8,0.74,0.31,0.11,-0.15,-0.14,2.02,1.91,1.22,1.13,0.83,0.83,0.6,0.45,0.47,0.02,0.16,-0.01,0.84,0.75,0.28,0.1,0.31,0.03,0.5,0.28,0.06,0.02,-0.18,-0.03,0.05,0.57,0.08,0.16,0.12,0.14
AMD2,biological process unknown,amidase activity,YDR242W,0.92,1.16,0.4,0.4,-0.06,0.12,3.2,2.67,1.53,1.7,1.81,1.32,0.91,0.7,0.76,0.28,0.33,0.27,1.07,0.63,-0.04,0.1,0.08,-0.24,1.15,1.46,0.44,0.5,0.41,-0.01,0.73,0.54,0.28,0.37,0.26,0.18
,biological process unknown,molecular function unknown,YDL057W,0.18,0.12,0.33,0.21,0.05,-0.19,1.39,1.13,0.49,0.64,0.49,0.42,0.27,0.24,0.33,-0.05,-0.01,-0.13,0.76,0.09,0.03,0.24,-0.08,0.13,0.69,0.2,0.21,0.14,0.05,0.05,1.05,0.38,0.09,0.16,0.01,0.05
ECM38,glutathione catabolism,protein-glutamine gamma-glutamyltransferase activity,YLR299W,0.62,0.24,0.65,0.53,0.16,0,3.06,2.53,1.28,1.34,1.46,1.56,0.15,0.19,0.24,0.11,0.32,0.23,1.05,0.7,0.15,0.17,0.21,0.16,0.83,0.15,0.41,0.24,0.21,0.05,1.29,0.49,0.2,0.03,0.28,0.31
LAP4,vacuolar protein catabolism,aminopeptidase I activity,YKL103C,0.6,0.04,0.38,0.37,-0.08,-0.33,3.18,2.59,0.95,1.18,0.94,1,0.07,0.17,-0.23,-0.29,0.2,0.29,0.82,0.6,-0.07,0.03,0.09,-0.21,0.86,0.24,0.58,0.19,-0.16,-0.13,1.54,0.9,0.49,0.48,0.28,-0.07
ARG81,arginine metabolism*,transcription cofactor activity,YML099C,0.38,0.2,0.13,-0.04,0.06,-0.04,0.89,0.67,0.62,0.48,0.54,0.55,0.05,-0.05,-0.07,-0.11,-0.05,0.1,0.41,0.23,0.11,0.13,0.02,0.14,0.27,-0.01,0.22,0.02,0.08,0.02,0.31,-0.05,0.04,0.05,0.18,0.15
,biological process unknown,molecular function unknown,YOL019W,0.01,-0.02,0.65,0.39,-0.11,-0.19,2.43,2.13,1.5,1.27,1.41,1.47,-0.04,0.18,0.38,0.39,0.34,0.36,0.46,0.88,0.41,0.46,0.26,0.24,0.06,-0.31,0.06,0.05,0.2,0.12,0.7,0.43,0.26,-0.06,0.28,0.19
YSP3,protein catabolism,peptidase activity,YOR003W,1.05,0.91,0.46,0.29,0.21,0.54,3.11,2.62,1.29,1.27,1.06,1.13,0.35,0.08,-0.08,-0.2,-0.3,-0.08,0.3,0.15,-0.11,-0.06,0.01,0.16,0.52,0.32,0.22,0.16,0.18,0.22,0.38,0.35,-0.04,0.09,0.29,0.29
,biological process unknown,molecular function unknown,YLR164W,0.89,0.67,0.14,0.2,-0.08,0.18,2.34,2.3,1.27,1.08,0.64,0.47,0.85,0.29,0.04,-0.03,-0.19,0.06,0.35,0.17,-0.22,-0.04,-0.06,0.3,0.36,0.45,0.24,0.5,0.2,0.13,0.67,0.03,-0.15,0.38,0.37,0.37
QDR3,multidrug transport,multidrug efflux pump activity,YBR043C,1.81,1.73,0.66,0.35,0.06,0.08,2.21,2.18,1.58,1.21,1.13,0.88,0.26,0.38,0.22,0.37,0.06,0.16,0.72,0.42,0.29,0.23,0.16,0.25,0.98,1.18,0.57,0.64,0.35,0.01,0.91,0.58,0.05,0,0.01,-0.01
ASP3-3,asparagine catabolism*,asparaginase activity,YLR158C,0.98,0.91,0.47,0.35,0.03,-0.02,4.77,4.64,3.71,3.02,2.81,2.12,-0.23,-0.41,-0.38,-0.54,-0.81,-0.79,2.25,0.49,-0.36,-0.32,-0.36,-0.28,0.61,0.23,0.24,0.12,-0.13,-0.17,3.08,1.33,0.68,0.72,0.65,0.77
ASP3-4,asparagine catabolism*,asparaginase activity,YLR160C,0.96,0.93,0.49,0.27,0.02,-0.04,4.78,4.65,3.65,3.09,2.76,2.1,-0.26,-0.44,-0.37,-0.54,-0.83,-0.74,2.22,0.45,-0.36,-0.32,-0.42,-0.29,0.59,0.23,0.26,0.12,-0.14,-0.16,3.06,1.29,0.67,0.77,0.65,0.63
ASP3-1,asparagine catabolism*,asparaginase activity,YLR155C,0.9,0.88,0.45,0.26,-0.01,-0.05,4.76,4.64,3.69,3.06,2.8,2.23,-0.17,-0.37,-0.45,-0.53,-0.83,-0.77,2.24,0.49,-0.43,-0.32,-0.42,-0.29,0.6,0.24,0.19,0.12,-0.14,-0.19,3.06,1.3,0.7,0.77,0.69,0.69
ASP3-2,asparagine catabolism*,asparaginase activity,YLR157C,0.97,0.85,0.42,0.31,-0.01,-0.1,4.62,4.57,3.67,3,2.79,2.15,-0.26,-0.37,-0.48,-0.55,-0.81,-0.69,2.21,0.44,-0.4,-0.37,-0.47,-0.36,0.51,0.19,0.24,0.07,-0.19,-0.23,3.04,1.31,0.66,0.75,0.66,0.66
HPA3,histone acetylation,histone acetyltransferase activity,YEL066W,0.4,0.61,0.27,0.21,0.33,0.09,1.3,1.56,1.23,0.96,1.03,0.68,0.09,0.42,0.01,0.02,0.03,0.17,0.51,0.22,0.1,0.06,0.09,-0.01,-0.03,0,0.15,0.16,-0.14,-0.18,1.08,0.13,-0.33,-0.04,-0.26,-0.05
DSN1,chromosome segregation,molecular function unknown,YIR010W,0.03,-0.14,0.08,0.14,0.01,-0.02,1.51,1.18,0.57,0.72,0.59,0.18,0.08,0.07,0.27,-0.05,0.23,-0.39,1.02,0.69,0.04,0.24,0.24,0.04,0.11,0.06,0.07,-0.15,-0.12,-0.07,0.58,0.4,0.32,-0.01,0.01,0.01
,biological process unknown,molecular function unknown,YIL089W,0.05,0.09,0.34,0.03,-0.24,0.07,1.91,2.2,2.87,NA,2.03,1.39,0.49,0.72,1.01,0.55,0.26,0.3,0.75,0.61,0.82,0.8,0.77,0.47,0.29,0.56,0.03,0.04,-0.23,0.04,NA,1.39,0.65,0.36,0.36,0.04
NRK1,nicotinamide riboside metabolism,nicotinamide riboside kinase activity,YNL129W,-0.19,0.12,-0.41,-0.73,-0.41,-0.11,1.86,1.99,2.73,2.7,2.46,1.37,0.65,0.66,0.74,0.66,0.83,0.72,0.18,0.08,0.15,0.14,0.34,0.12,-0.23,0.56,0.13,0.4,0.19,0.13,-0.98,0.4,0.45,0.72,0.45,0.14
AVT2,transport,transporter activity,YEL064C,-0.17,-0.09,-0.05,-0.04,-0.02,-0.1,1.01,1.28,1.38,1.27,1.13,0.83,0.15,0.4,0.23,0.54,0.26,0.34,0.37,0.36,0.29,0.36,0.33,0.34,-0.18,-0.07,0.11,0.28,0.29,0.11,-0.34,0.05,-0.12,0.01,0.25,0.26
PUT2,glutamate biosynthesis*,1-pyrroline-5-carboxylate dehydrogenase activity,YHR037W,0.17,-0.08,0.25,0.29,0.13,0.07,1.66,1.51,1.64,1.64,1.58,1.17,0.13,0.09,0.31,0.16,0.01,-0.2,-0.1,0.34,0.12,0.12,0.35,0.06,-0.01,-0.02,0.03,-0.08,-0.21,-0.05,-0.76,-0.16,-0.12,-0.13,-0.28,-0.31
GAP1,amino acid transport*,L-proline permease activity*,YKR039W,1.11,0.84,1.73,0.96,0.18,-0.02,6.64,6.64,5.29,5.41,4.6,4.31,0.87,1.03,0.83,-0.27,0.95,0.86,0.33,1.09,0.66,0.69,0.63,0.5,1.23,0.82,1.77,1.49,0.83,0.87,0.27,0.73,0.06,0.23,0.46,0.38
BRE4,endocytosis,molecular function unknown,YDL231C,0.07,0.1,0.07,-0.04,0.02,0.09,1.41,1.37,1.42,1.18,1.04,0.74,0.25,0.27,0.29,0.15,0.16,0.24,-0.54,0.24,0.09,0.12,0.11,0.08,0.22,0.15,0.25,0.27,0.04,-0.02,0.12,0.05,0.03,0.18,0.08,0.11
DAL1,allantoin catabolism,allantoinase activity,YIR027C,-0.17,0,-0.26,-0.5,-0.2,0.08,3.58,3.88,2.67,2.94,3.38,3.81,0.15,0.52,1.07,1.01,1.11,0.93,NA,-0.35,NA,-0.4,-0.04,0.06,-0.7,-0.24,-0.06,0.05,0.05,0.1,NA,-0.02,-0.46,0.11,-0.07,0.49
CPS1,proteolysis and peptidolysis*,Gly-X carboxypeptidase activity,YJL172W,-0.2,-0.23,-0.18,-0.22,-0.44,-0.44,3.98,4.48,4.35,4.17,4.2,3.64,-0.21,0.02,0.51,0.8,0.79,0.72,-1.25,0.07,-0.2,0.17,-0.11,0.1,-0.25,-0.34,-0.09,-0.05,-0.07,-0.26,-0.65,0.38,-0.26,0.03,0.33,0.3
DAL7,allantoin catabolism,malate synthase activity,YIR031C,-0.69,-0.17,-0.01,-0.09,0.05,0.03,4.03,4.04,3.79,3.94,4,4.28,-0.53,-0.41,-0.1,-0.07,0.13,0.27,0.22,-0.06,0.22,0.18,0.21,0.15,-0.24,0.07,0.16,0.25,-0.07,-0.11,-0.13,0.54,0.43,0.53,0.4,0.39
DAL5,allantoate transport,allantoate transporter activity,YJR152W,0.09,-0.04,0.85,0.27,0.06,0.11,6.64,6.64,6.64,6.64,6.64,6.64,-0.35,-0.08,0.09,0.09,0.08,0.29,0.87,0.53,0.21,0.23,0.19,0.08,-0.13,0.12,0.6,0.77,0.09,-0.18,-0.23,0.3,0.19,1.24,0.97,1.06
DAL4,allantoin transport,allantoin permease activity,YIR028W,0.46,0.6,0.3,0.38,0.15,0.16,5.56,5.11,3.83,4.11,3.89,4.45,0.36,-0.19,-0.24,0.15,-0.64,-0.01,-0.15,0.04,-0.59,0,-0.04,0.37,0.54,0.2,0.09,0.1,0.42,0.33,0.81,0.66,0.13,0.27,-0.08,0.29
MEP2,pseudohyphal growth*,ammonium transporter activity,YNL142W,-0.65,-0.66,0.96,0.28,0.33,0.21,6.03,6.13,4.99,4.92,4.35,4.3,-0.38,0.11,-0.03,0.29,0.16,0.09,-0.83,0.02,-0.3,-0.28,-0.46,-0.21,-1.05,-1.22,-0.37,-0.39,-1.13,-1.3,-0.08,1.46,1.2,1.46,1.92,1.82
VBA1,basic amino acid transport,basic amino acid permease activity,YMR088C,-1.22,-0.62,-0.15,-0.01,-0.26,-0.39,3.62,4.05,3.98,3.8,3.43,3,-0.97,-0.64,-0.46,-0.32,-0.4,-0.55,-0.92,0.02,-0.28,-0.03,-0.33,0.13,-0.82,-0.3,-0.06,0.09,0.04,-0.31,-1.51,0.2,0.42,0.34,0.75,0.7
YGK3,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity,YOL128C,0.15,-0.07,-0.12,-0.22,-0.27,-0.03,2.97,2.9,2.59,1.96,1.36,0.98,-0.01,0,-0.03,-0.05,-0.02,0.09,0.16,0.77,0.08,0.15,0.2,0.08,-0.12,0.07,0.08,0.1,0.15,0.21,0.47,0.97,0.4,0.42,0.41,0.42
"DUR1,2",allantoin catabolism*,allophanate hydrolase activity*,YBR208C,0.25,-0.15,0.31,0.17,0.1,0.15,4.44,3.76,3.11,2.86,2.56,2.62,1.36,1.27,1,0.98,0.18,0.17,0.52,0.51,-0.46,-0.38,-0.43,-0.45,0.12,-0.42,-0.67,-0.35,0.38,0.32,1.37,1.05,0.29,0.14,0.54,0.24
VTH1,Golgi to vacuole transport,signal sequence binding,YIL173W,-0.01,-0.03,-0.16,0.05,-0.07,0.18,1.04,1.06,0.93,0.87,0.56,0.64,0.55,0.48,0.25,0.27,0.34,0.37,-0.02,0.08,-0.03,0.12,-0.03,0.22,0.3,0.13,0.1,0.05,-0.01,0.09,-0.01,0.13,-0.07,0.05,-0.06,0.32
VTH2,Golgi to vacuole transport,signal sequence binding,YJL222W,0.01,-0.2,-0.17,-0.03,0.1,0.15,1.06,0.97,0.89,0.66,0.65,0.57,0.5,0.34,0.17,0.28,0.29,0.31,-0.14,0.12,-0.06,-0.11,0.06,0.21,0.34,0.23,0.1,0.09,0.1,0.04,-0.18,0.11,-0.08,-0.06,0.06,0.4
NIT3,biological process unknown,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",YLR351C,0.01,0.29,0.15,0.2,0.2,0.13,0.86,0.85,0.85,0.62,0.81,0.64,0.31,0.29,0.19,0.25,0.31,0.35,-0.01,-0.05,0.23,0.15,0.27,0.23,0.3,0.33,0.52,0.45,0.23,0.15,0.71,0.29,0.32,0.29,0.28,0.27
,biological process unknown,protein kinase activity,YPL236C,0.17,0.13,0.02,0.66,0.08,0.01,0.81,0.77,0.69,0.68,0.12,0.24,0.16,0.06,0.03,0.06,0.07,0.04,0.04,0.34,0.13,0.06,0.02,-0.1,-0.01,0.06,0.09,0.14,0.01,0.03,-0.2,0.29,-0.12,0.07,-0.01,-0.1
